Monthly Macro data,
Period,IIP (C-ND)
Apr-12,97.0
May-12,99.8
Jun-12,104.9
Jul-12,103.7
Aug-12,103.8
Sep-12,98.2
Oct-12,102.4
Nov-12,102.6
Dec-12,117.5
Jan-13,113.2
Feb-13,109.7
Mar-13,120.3
Apr-13,
May-13,108.8
Jun-13,105.8
Jul-13,107.9
Aug-13,106.9
Sep-13,106.2
Oct-13,
Nov-13,102.4
Dec-13,119.5
Jan-14,118.0
Feb-14,111.2
Mar-14,121.5
Apr-14,107.2
May-14,110.8
Jun-14,109.9
Jul-14,115.3
Aug-14,108.6
Sep-14,108.2
Oct-14,100.3
Nov-14,110.8
Dec-14,124.9
Jan-15,122.1
Feb-15,121.9
Mar-15,130.7
Apr-15,113.3
May-15,115.4
Jun-15,109.8
Jul-15,107.7
Aug-15,110.2
Sep-15,
Oct-15,115.6
Nov-15,116.7
Dec-15,131.6
Jan-16,126.4
Feb-16,123.6
Mar-16,125.9
Apr-16,113.5
May-16,128.4
Jun-16,122.3
Jul-16,123.3
Aug-16,122.6
Sep-16,123.9
Oct-16,122.1
Nov-16,120.5
Dec-16,
Jan-17,138.5
Feb-17,136.5
Mar-17,135.4
Apr-17,123.5
May-17,140.9
Jun-17,128.2
Jul-17,
Aug-17,131.4
Sep-17,136.9
Oct-17,132.1
Nov-17,149.1
Dec-17,153.4
Jan-18,153.3
Feb-18,146.6
Mar-18,154.5
Apr-18,132.8
May-18,138.6
Jun-18,128.5
Jul-18,135.1
Aug-18,140.0
Sep-18,145.6
Oct-18,143.4
Nov-18,148.6
Dec-18,163.4
Jan-19,159.2
Feb-19,153.9
Mar-19,156.6
Apr-19,140.0
May-19,149.8
Jun-19,138.0
Jul-19,146.6
Aug-19,144.4
Sep-19,144.0
Oct-19,138.6
Nov-19,150.2
Dec-19,158.1
Jan-20,158.3
Feb-20,153.4
Mar-20,121.7
Apr-20,72.7
May-20,
Jun-20,147.5
Jul-20,149.3
Aug-20,140.0
Sep-20,147.4
Oct-20,148.7
Nov-20,149.1
Dec-20,161.1
Jan-21,149.8
Feb-21,147.6
Mar-21,157.2
Apr-21,140.0
May-21,135.6
Jun-21,141.8
Jul-21,145.9
Aug-21,148.3
Sep-21,147.3
Oct-21,149.7
Nov-21,147.9
Dec-21,161.6
Jan-22,154.4
Feb-22,137.6
Mar-22,150.3
Apr-22,138.9
May-22,137.5
Jun-22,145.9
Jul-22,141.7
Aug-22,134.9
Sep-22,138.9
Oct-22,130.3
Nov-22,162.7
Dec-22,174.4
Jan-23,164.4
Feb-23,154.3
Mar-23,146.2
Apr-23,153.7
